"","...1","arm","cancer.type","mean","arm_stats"
"205",765,"X19p","ESCA",0.269938650306748,"ESCA: 0.44 (1.36E-02)"
"206",772,"X19p","LUAD",0.447316103379722,"LUAD: 0.52 (0.00E+00)"
"207",773,"X19p","LUSC",0.226141078838174,"LUSC: 0.44 (1.38E-03)"
"208",779,"X19p","STAD",0.255269320843091,"STAD: 0.32 (2.98E-08)"
"209",795,"X19q","LUAD",0.224652087475149,"LUAD: 0.38 (1.56E-05)"
"210",855,"X21q","CHOL",0.361111111111111,"CHOL: 0.44 (6.36E-03)"
"211",856,"X21q","COAD",0.25635103926097,"COAD: 0.29 (2.37E-02)"
"212",857,"X21q","ESCA",0.503067484662577,"ESCA: 0.64 (5.19E-09)"
"213",859,"X21q","HNSC",0.279296875,"HNSC: 0.38 (1.64E-09)"
"214",860,"X21q","KICH",0.492307692307692,"KICH: 0.56 (5.28E-09)"
"215",863,"X21q","LIHC",0.229281767955801,"LIHC: 0.32 (2.95E-08)"
"216",864,"X21q","LUAD",0.268389662027833,"LUAD: 0.40 (2.37E-02)"
"217",865,"X21q","LUSC",0.421161825726141,"LUSC: 0.60 (1.09E-14)"
"218",866,"X21q","PAAD",0.246987951807229,"PAAD: 0.32 (1.22E-07)"
"219",869,"X21q","READ",0.4,"READ: 0.44 (1.83E-09)"
"220",871,"X21q","STAD",0.398126463700234,"STAD: 0.43 (2.28E-15)"
"221",875,"X22q","BLCA",0.263681592039801,"BLCA: 0.44 (7.49E-10)"
"222",876,"X22q","BRCA",0.377862595419847,"BRCA: 0.49 (0.00E+00)"
"223",879,"X22q","COAD",0.297921478060046,"COAD: 0.33 (5.29E-11)"
"224",880,"X22q","ESCA",0.276073619631902,"ESCA: 0.48 (4.62E-03)"
"225",881,"X22q","GBM",0.230228471001757,"GBM: 0.33 (0.00E+00)"
"226",887,"X22q","LUAD",0.339960238568588,"LUAD: 0.49 (4.05E-15)"
"227",889,"X22q","PAAD",0.22289156626506,"PAAD: 0.27 (3.45E-05)"
"228",890,"X22q","PCPG",0.274390243902439,"PCPG: 0.36 (0.00E+00)"
"229",892,"X22q","READ",0.348387096774194,"READ: 0.37 (7.93E-06)"
"230",894,"X22q","STAD",0.269320843091335,"STAD: 0.36 (8.19E-11)"
